event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
1,"The impatient billionaire and the mirror for Earth. If only the Earth could hold up a mirror to itself,",neutral,0.5756112933158875,0.12458645552396774,0.5756112933158875,0.2998022437095642,-0.17521578818559647,0.42438870668411255
2,"“Say no more,” thought the impatient billionaire in the audience at the TED conference, who found this speaker's voice as whiny and irritating as his ideas were inspiring and consciousness shifting. He already knew the part of the speech that was going to stay with him. A mirror up to Earth. Amazing, unbelievable, tricky, but doable. He got it, let's make it.",positive,0.4349869191646576,0.4349869191646576,0.3797224164009094,0.18529058992862701,0.24969632923603058,0.6202775835990906
3,"“I want you to build a mirror for Earth,” he said to his engineers, who were used to things like this. “How big do you want the mirror to be?” “Full length.” “How big do you want the earth to look?” “Full size.” “Can't be full size,” said the head engineer. “Yes, it can be,” said the impatient billionaire. “And by the end of today, my head engineer is going to be somebody who tells me how it's going to happen, not why it can't.”",neutral,0.607660174369812,0.13844212889671326,0.607660174369812,0.25389766693115234,-0.11545553803443909,0.392339825630188
4,"“If it's full size,” said the head engineer, “you'll only see the reflection of what is in your field of vision up to your horizon point. That's not what you want, is it? You're picturing seeing like China, right?” “Yes,” said the impatient billionaire. “Exactly. Things like China.” “So let's figure out how big,” said the engineer.",negative,0.5173081159591675,0.0733720064163208,0.40931984782218933,0.5173081159591675,-0.4439361095428467,0.5906801521778107
5,"“I want you to be able to look up with binoculars and literally wave at yourself,"" said the impatient billionaire. “But you could also look at the White House or your grandmother in Florida or see two people on a date in Brazil. My God, do you realize what this is going to mean for humanity?” “You're only going to be able to see one hemisphere at a time,” said the head engineer. “That means you won't be able to see China and Brazil at the same time. Which one is more important to you?” “I don't know. Same. Brazil” said the impatient billionaire.",negative,0.6180011034011841,0.04638586565852165,0.33561307191848755,0.6180011034011841,-0.5716152377426624,0.6643869280815125
6,The engineer took some notes with a little pencil. “Wait” said the impatient billionaire. “Is this mirror going to burn up the whole planet? Don't just yes me on everything. Really think about it. A mirror that big reflecting the sun facing us? I do not want to burn up the planet. I do not want to be that guy.”,negative,0.8446886539459229,0.014911098405718803,0.14040030539035797,0.8446886539459229,-0.829777555540204,0.859599694609642
7,"“No, that should be okay,"" said the head engineer. “We should be able to come up with a material that reflects plenty of light, but not a meaningful amount of heat. Let me talk with the team.” The engineers talked numbers and said they could probably have something up in 18 months.",neutral,0.5755040049552917,0.37817656993865967,0.5755040049552917,0.04631941393017769,0.331857156008482,0.42449599504470825
8,"“Why not six?” Asked the impatient billionaire, trying to force into his eyes the rogue, intoxicating glimmer that he knew had served him well in life so far. “18,” said the engineering team. “Fine,” said the impatient billionaire. “If you can really guarantee 18 months, fine.” “We can,” said the engineering team.",neutral,0.5570951104164124,0.3627031445503235,0.5570951104164124,0.08020174503326416,0.2825013995170593,0.44290488958358765
9,"35 months and two weeks later, more than a year late and $700 million over budget, the Mirror for Earth finally went up into the sky.",neutral,0.5073153972625732,0.047715697437524796,0.5073153972625732,0.44496890902519226,-0.39725321158766747,0.49268460273742676
10,"But nobody remembers how long anything takes. They only remember how good it was in the end. And in the end, the mirror was magnificent. After a very short amount of time, the mirror for Earth became one of those things that people couldn't ever imagine not existing.",positive,0.7503759264945984,0.7503759264945984,0.2051350623369217,0.04448900744318962,0.7058869190514088,0.7948649376630783
11,"When people caught sight of themselves in the mirror, individually and as a species, they thought twice about how they looked doing whatever they were doing. Crime disappeared, wars evaporated, meanness declined dramatically. The mirror changed everything, forever, for the better. Besides all that, the thing was, quite simply, beautiful.",positive,0.8205779790878296,0.8205779790878296,0.15148645639419556,0.027935590595006943,0.7926423884928226,0.8485135436058044
12,"One summer night, a few years later, the impatient billionaire couldn't sleep. The air conditioning in his master bedroom was broken, and even an impatient billionaire didn't have a way to get an air conditioner fixed in the middle of the night without waking up a wife who was asleep in the same room.",negative,0.8327387571334839,0.015098592266440392,0.15216264128684998,0.8327387571334839,-0.8176401648670435,0.84783735871315
13,"The impatient billionaire's mind started running through all of the projects he had in the works, none of which was going as fast as it should be. “You'd think the man who put up the mirror for Earth would attract the best and brightest and most resourceful people, but apparently not,” he thought to himself.",neutral,0.4644983410835266,0.159297913312912,0.4644983410835266,0.3762038052082062,-0.2169058918952942,0.5355016589164734
14,"Impatient for nothing in particular, the impatient billionaire wandered outside to his bedroom balcony and picked up a pair of binoculars that had been a gift from the head engineer, but that he had never actually used.",neutral,0.5695202350616455,0.08156150579452515,0.5695202350616455,0.3489183187484741,-0.267356812953949,0.4304797649383545
15,"After a couple of minutes spent searching and focusing, he found what he thought to be himself up in the sky and made some specific gestures with his arms to confirm that he really was staring at himself and not at one of his neighbors who might just happen to have a similar pair of pajamas and late night impulse.",neutral,0.8036020398139954,0.15659840404987335,0.8036020398139954,0.039799515157938004,0.11679888889193535,0.19639796018600464
16,"Yes, that was him. That was him, waving widely. That was him, the little figure in red jutting out into the endless black.",positive,0.5358651876449585,0.5358651876449585,0.44878089427948,0.015353953465819359,0.5205112341791391,0.55121910572052
17,"And then, after the impatient billionaire had established that it was definitely certainly him up there in the sky, he made a few more funny gestures anyway, just for fun. What a cool thing he had made.",positive,0.911279559135437,0.911279559135437,0.08313623070716858,0.005584193393588066,0.905695365741849,0.9168637692928314
